date,AAPL,MSFT,NVDA,GOOGL,AMZN,TSLA,JPM,XOM,JNJ,V,PG,005930.KS,000660.KS,035420.KS,GLD,IYR,EFA,EEM,IWM,SPY,AGG,TLT
2023-03-20,132.0457,244.2886,153.5021,91.6762,98.3866,114.1421,136.7275,109.4653,172.6564,220.6489,139.5956,60368.3519,94094.4654,211958.0802,170.2,84.458,71.7042,40.638,197.3196,388.5903,98.059,94.4575
2023-03-21,129.7194,237.7139,142.2582,89.1025,94.5816,106.7133,133.4695,106.4107,166.526,215.535,136.5927,59014.4621,88761.0762,209533.406,171.4232,83.2175,69.875,40.0621,190.4749,378.2878,97.8698,94.7409
2023-03-22,131.5231,235.0604,148.443,89.5496,95.5448,115.8928,133.325,106.2785,167.7653,218.3891,136.9011,59111.6026,85033.1343,209390.7202,172.1353,83.1048,70.5129,40.2178,188.8557,380.1747,97.9191,93.6775
2023-03-23,131.1672,231.4557,137.3076,87.7071,93.9124,123.0387,133.8669,105.1619,167.6262,217.6858,137.6583,59422.1592,83608.7007,209983.589,169.1387,82.7156,70.3553,39.8458,190.8965,378.0585,97.9803,94.0094
2023-03-24,132.8214,228.3728,134.9472,87.4473,92.9025,116.2823,133.6311,106.5748,168.046,216.5334,135.9119,59261.0348,83810.324,206750.7042,168.3349,82.932,70.894,39.6414,190.6949,376.4178,97.745,93.6493
2023-03-27,131.4828,230.1989,136.3421,87.6116,94.2167,118.6394,132.4996,108.4393,168.2841,215.3437,134.8182,59365.4271,83619.2455,209910.8766,168.6879,81.2554,71.1099,39.7179,187.1887,375.7369,98.5028,95.0902
2023-03-28,129.9929,221.5848,128.999,87.5664,91.8065,118.9242,129.1924,108.9633,165.353,211.7985,133.2938,57621.4051,81199.896,209588.6591,167.7229,81.1062,70.3776,39.3813,180.5658,367.8794,97.3465,94.4611
2023-03-29,128.3415,220.7327,129.9199,86.1119,90.3303,117.3511,128.9549,106.9612,165.9868,212.0009,132.7773,56785.5406,79627.3086,212158.4778,166.972,80.5319,70.6871,39.7637,181.2625,367.1497,97.4469,94.648
2023-03-30,126.0328,220.6537,124.3727,84.5077,90.0022,117.9618,129.8115,104.202,163.5907,209.9036,132.297,57473.4005,78143.9893,207113.3797,167.2665,79.9886,70.2295,40.0924,179.6886,363.9449,98.0946,93.9806
2023-03-31,129.4098,228.858,132.963,87.7077,93.8363,120.9936,135.2506,104.5283,165.4347,214.3018,133.6861,59192.9773,83317.4234,211971.1257,167.2808,83.3308,71.0198,40.919,184.9199,377.3173,98.8559,93.3335
2023-04-03,130.5199,231.5898,133.5823,87.373,93.3786,120.1289,136.0803,104.3517,165.1483,212.8448,133.8011,58253.0402,85058.4154,210004.5516,167.0524,84.049,70.6921,41.277,183.8459,378.4193,99.4548,93.613
2023-04-04,128.6673,229.3359,132.5238,86.6845,93.819,123.2076,134.3201,104.2713,166.2602,214.5737,134.3762,58730.5826,84086.0402,219891.266,167.9782,83.94,70.1563,41.153,185.2154,377.1808,99.0412,93.3401
